#,Start,Dur,Scene,Framing,Move,Transition,Note
30,02:04.10,3.00,Sense One — Seeing,close-up,static,cut,Audience beat: Where is something green?
31,02:07.10,6.27,Sense One — Seeing,close-up,push-in,cut,"That's easy. The grass, the leaves, the stems — green, green, green!"
32,02:13.37,5.10,Sense One — Seeing,medium,push-in,cut,"Brilliant looking, everybody. That's sense number one: seeing."
33,02:18.47,3.00,Sense One — Seeing,close-up,static,cut,Audience beat: Hold up one finger. One sense found!
34,02:21.67,3.07,Sense Two — Hearing,wide,push-in,cut,Establish: Sense Two — Hearing
35,02:24.73,1.83,Sense Two — Hearing,medium,static,cut,Tweet! Tweet-tweet!
36,02:26.57,2.30,Sense Two — Hearing,close-up,static,cut,Oh! Did you hear that?
37,02:28.83,2.37,Sense Two — Hearing,two-shot,static,cut,I did! Who was that?
38,02:31.20,2.57,Sense Two — Hearing,full,handheld,cut,"It was me! Hello, I'm Pip."
39,02:33.77,3.00,Sense Two — Hearing,close-up,static,cut,"Everybody, this is sense number two."
40,02:36.77,4.37,Sense Two — Hearing,close-up,static,cut,Close your eyes for me. Now — what can you hear?
41,02:41.10,3.20,Sense Two — Hearing,close-up,static,cut,Audience beat: Close your eyes and listen!
42,02:44.30,2.10,Sense Two — Hearing,close-up,static,cut,I can hear Pip singing!
43,02:46.40,2.70,Sense Two — Hearing,two-shot,static,cut,"And the water going splish, splash."
44,02:49.13,3.63,Sense Two — Hearing,full,handheld,cut,And the wind in the leaves. Shhhhhh.
45,02:52.77,7.47,Sense Two — Hearing,close-up,push-in,cut,Open your eyes! That was your sense of HEARING. Your ears did all of t
46,03:00.23,4.83,Sense Two — Hearing,medium,push-in,cut,My ears were working the whole time and I didn't even know!
47,03:05.07,1.03,Sense Two — Hearing,medium,static,cut,Buzzy reaches out and rings a little bell
48,03:06.07,5.43,Sense Two — Hearing,close-up,push-in,cut,"Now, listen very carefully. Is this sound LOUD, or is it QUIET?"
49,03:11.53,6.27,Sense Two — Hearing,close-up,static,cut,Audience beat: Loud or quiet?
50,03:17.80,3.00,Sense Two — Hearing,close-up,static,cut,Audience beat: Loud or quiet?
51,03:20.80,1.87,Sense Two — Hearing,full,handheld,cut,That one made me jump!
52,03:22.67,4.03,Sense Two — Hearing,close-up,static,cut,Let's make a sound together! Can you clap your hands?
53,03:26.70,4.50,Sense Two — Hearing,close-up,static,cut,Audience beat: Clap along with us!
54,03:31.20,4.77,Sense Two — Hearing,medium,push-in,cut,What a wonderful noise. That's sense number two: hearing.
55,03:35.97,3.00,Sense Two — Hearing,close-up,static,cut,Audience beat: Hold up two fingers. Two senses!
56,03:39.17,3.97,Sense Three — Smelling,wide,push-in,cut,Establish: Sense Three — Smelling
57,03:43.13,4.57,Sense Three — Smelling,medium,push-in,cut,"Mmmmm. Oh, my goodness. Come and smell this."
58,03:47.70,1.07,Sense Three — Smelling,close-up,static,cut,What is it?
59,03:48.80,3.97,Sense Three — Smelling,two-shot,static,cut,It's the flower. Take a big breath in through your nose.
60,03:52.77,5.13,Sense Three — Smelling,close-up,static,cut,Audience beat: Take a deep breath in through your nose!
61,03:57.90,3.20,Sense Three — Smelling,full,handheld,cut,Ohhh! It's sweet! Like honey!
62,04:01.10,9.40,Sense Three — Smelling,close-up,push-in,cut,That's sense number three. SMELLING. Your nose is doing that.
63,04:10.50,0.93,Sense Three — Smelling,medium,static,cut,"Dotty the ladybird arrives, holding her nose"
64,04:11.40,3.53,Sense Three — Smelling,close-up,static,cut,Ugh! Has anybody been near the compost heap?
65,04:14.97,3.47,Sense Three — Smelling,two-shot,static,cut,Oh dear. Dotty found a not-so-lovely one.
66,04:18.43,3.20,Sense Three — Smelling,close-up,static,cut,Audience beat: What's your favourite smell? Tell me!
67,04:21.63,3.37,Sense Three — Smelling,full,handheld,cut,Mine is bread. Warm bread from the oven.
68,04:25.00,7.90,Sense Three — Smelling,close-up,static,cut,"And mine is flowers, of course. I'm a bee!"
69,04:32.90,3.00,Sense Three — Smelling,close-up,static,cut,Audience beat: Hold up three fingers!
70,04:36.10,2.17,Sense Four — Tasting,wide,push-in,cut,Establish: Sense Four — Tasting
71,04:38.27,3.13,Sense Four — Tasting,medium,static,cut,Now this one — this one is my favourite.
72,04:41.40,4.57,Sense Four — Tasting,close-up,static,cut,"What's in the basket, Buzzy?"
73,04:45.97,4.30,Sense Four — Tasting,full,handheld,cut,Take a little taste. Just a little one.
74,04:50.27,2.37,Sense Four — Tasting,close-up,static,cut,Mmmm! It's SWEET!
75,04:52.60,6.43,Sense Four — Tasting,medium,push-in,cut,"Sense number four. TASTING. Your tongue knows sweet, and salty, and so"
76,04:59.03,1.93,Sense Four — Tasting,close-up,static,cut,Sour? What's sour?
77,05:00.97,4.17,Sense Four — Tasting,two-shot,static,cut,"Oh, Dotty. You're going to find out."
78,05:05.13,2.57,Sense Four — Tasting,full,handheld,cut,It's yellow. It looks lovely.
79,05:07.70,6.13,Sense Four — Tasting,close-up,static,cut,Audience beat: Do you think a lemon is sweet or sour?
80,05:13.83,4.07,Sense Four — Tasting,medium,static,cut,And remember — we only taste things we know are safe.
81,05:17.90,2.43,Sense Four — Tasting,close-up,static,cut,Always ask a grown-up first!
82,05:20.37,2.67,Sense Four — Tasting,two-shot,static,cut,Exactly right. That's four!
83,05:23.03,3.00,Sense Four — Tasting,close-up,static,cut,Audience beat: Hold up four fingers!
84,05:26.23,3.07,Sense Five — Touching,wide,push-in,cut,Establish: Sense Five — Touching
85,05:29.30,2.80,Sense Five — Touching,medium,static,cut,One more to find. Just one!
86,05:32.07,3.70,Sense Five — Touching,close-up,static,cut,The last sense! What is it?
87,05:35.77,3.77,Sense Five — Touching,two-shot,static,cut,"Feel this moss. Go on, reach out with me."
88,05:39.53,3.20,Sense Five — Touching,close-up,static,cut,Audience beat: Reach out your hand and touch something soft!
89,05:42.73,3.10,Sense Five — Touching,full,handheld,cut,It's soft! Like a little cushion.
90,05:45.83,4.80,Sense Five — Touching,close-up,push-in,cut,That's sense number five. TOUCHING. And your skin does it.
91,05:50.63,0.93,Sense Five — Touching,medium,static,cut,Dotty picks up a pinecone
92,05:51.57,2.93,Sense Five — Touching,medium,static,cut,Ooh! This one isn't soft at all!
93,05:54.50,2.50,Sense Five — Touching,close-up,static,cut,"What does it feel like, Dotty?"
94,05:57.00,2.30,Sense Five — Touching,two-shot,static,cut,Bumpy. And a bit prickly.
95,05:59.30,4.13,Sense Five — Touching,full,handheld,cut,Bumpy and prickly. Lovely describing.
96,06:03.43,3.17,Sense Five — Touching,close-up,static,cut,And this rock is smooth. And cold!
97,06:06.60,6.30,Sense Five — Touching,medium,push-in,cut,Smooth. Cold. Rough. Warm. Soft. Your skin knows them all.
98,06:12.90,6.53,Sense Five — Touching,close-up,static,cut,Audience beat: Can you feel your own cheek? Is it soft?
99,06:19.43,3.30,Sense Five — Touching,two-shot,static,cut,And that's five! We found all five!
100,06:22.90,2.17,The Five Senses Song,wide,push-in,cut,Establish: The Five Senses Song
101,06:25.07,3.53,The Five Senses Song,medium,static,cut,We did it! Let's count them all together.
102,06:28.63,2.73,The Five Senses Song,two-shot,static,cut,Number one — my eyes can SEE.
103,06:31.37,5.80,The Five Senses Song,close-up,static,cut,Audience beat: Point to your eyes!
104,06:37.17,6.57,The Five Senses Song,close-up,static,cut,Audience beat: Point to your ears!
105,06:43.73,6.17,The Five Senses Song,close-up,static,cut,"Audience beat: Point to your nose, then your tongue!"
106,06:49.90,3.00,The Five Senses Song,close-up,static,cut,Audience beat: Wiggle your fingers!
107,06:52.90,2.87,The Five Senses Song,medium,static,cut,Five senses! Let's sing it!
108,06:55.77,2.60,The Five Senses Song,close-up,static,cut,"Sing along with me, everybody!"
109,06:58.33,7.13,The Five Senses Song,close-up,static,cut,Audience beat: Sing along! Eyes to see and ears to hear!
110,07:05.47,2.67,The Five Senses Song,full,handheld,cut,"A nose to smell the flowers near,"
111,07:08.13,2.87,The Five Senses Song,close-up,static,cut,"A tongue to taste our lunch today,"
112,07:11.03,2.50,The Five Senses Song,medium,static,cut,And skin to feel along the way!
113,07:13.53,4.53,The Five Senses Song,close-up,push-in,cut,"Five senses, five senses, one two three four five!"
114,07:18.07,4.77,The Five Senses Song,two-shot,push-in,cut,"Five senses, five senses, they help us feel alive!"
115,07:22.83,1.93,The Five Senses Song,medium,static,cut,Everybody cheers and jumps
116,07:24.73,9.57,The Five Senses Song,close-up,push-in,cut,"So next time you're outside, have a go."
117,07:34.30,7.53,The Five Senses Song,close-up,static,cut,Thank you for coming on our sense-ational adventure!
118,07:41.83,3.00,The Five Senses Song,close-up,static,cut,Audience beat: Wave goodbye to Buzzy!
119,07:45.02,3.40,Outro,two-shot,static,crossfade,Goodbye wave
120,07:48.42,3.60,Outro,two-shot,pull-out,cut,End card with call to action
