file,character,direction,line
046-buzzy.wav,BUZZY,happy,It's the flower. Take a big breath in through your nose.
047-lily.wav,LILY,excited,Ohhh! It's sweet! Like honey!
048-buzzy.wav,BUZZY,proud,That's sense number three. SMELLING. Your nose is doing that.
049-buzzy.wav,BUZZY,curious,Some smells are lovely. And some are... not so lovely.
050-dotty.wav,DOTTY,yucky,Ugh! Has anybody been near the compost heap?
051-buzzy.wav,BUZZY,giggling,Oh dear. Dotty found a not-so-lovely one.
052-lily.wav,LILY,happy,Mine is bread. Warm bread from the oven.
053-buzzy.wav,BUZZY,excited,"And mine is flowers, of course. I'm a bee!"
054-buzzy.wav,BUZZY,proud,"Three senses found. Seeing, hearing, and smelling."
055-buzzy.wav,BUZZY,excited,Now this one — this one is my favourite.
056-lily.wav,LILY,curious,"What's in the basket, Buzzy?"
057-lily.wav,LILY,excited,A strawberry!
058-buzzy.wav,BUZZY,happy,Take a little taste. Just a little one.
059-lily.wav,LILY,excited,Mmmm! It's SWEET!
060-buzzy.wav,BUZZY,proud,"Sense number four. TASTING. Your tongue knows sweet, and salty, and sour."
061-dotty.wav,DOTTY,curious,Sour? What's sour?
062-buzzy.wav,BUZZY,giggling,"Oh, Dotty. You're going to find out."
063-dotty.wav,DOTTY,curious,It's yellow. It looks lovely.
064-dotty.wav,DOTTY,yucky,Oooooooh! That's SOUR!
065-buzzy.wav,BUZZY,happy,And remember — we only taste things we know are safe.
066-lily.wav,LILY,happy,Always ask a grown-up first!
067-buzzy.wav,BUZZY,proud,Exactly right. That's four!
068-buzzy.wav,BUZZY,curious,One more to find. Just one!
069-lily.wav,LILY,excited,The last sense! What is it?
070-buzzy.wav,BUZZY,excited,"Feel this moss. Go on, reach out with me."
071-lily.wav,LILY,happy,It's soft! Like a little cushion.
072-buzzy.wav,BUZZY,proud,That's sense number five. TOUCHING. And your skin does it.
073-dotty.wav,DOTTY,surprised,Ooh! This one isn't soft at all!
074-buzzy.wav,BUZZY,curious,"What does it feel like, Dotty?"
075-dotty.wav,DOTTY,,Bumpy. And a bit prickly.
076-buzzy.wav,BUZZY,happy,Bumpy and prickly. Lovely describing.
077-lily.wav,LILY,happy,And this rock is smooth. And cold!
078-buzzy.wav,BUZZY,excited,Smooth. Cold. Rough. Warm. Soft. Your skin knows them all.
079-buzzy.wav,BUZZY,giggling,"Mine is fuzzy! I'm a bee, remember."
080-buzzy.wav,BUZZY,proud,And that's five! We found all five!
081-buzzy.wav,BUZZY,excited,We did it! Let's count them all together.
082-buzzy.wav,BUZZY,happy,Number one — my eyes can SEE.
083-buzzy.wav,BUZZY,,Number two — my ears can HEAR.
084-buzzy.wav,BUZZY,,"My nose can SMELL, and my tongue can TASTE."
085-buzzy.wav,BUZZY,excited,And number five — my skin can TOUCH.
086-lily.wav,LILY,excited,Five senses! Let's sing it!
087-buzzy.wav,BUZZY,giggling,"Sing along with me, everybody!"
088-buzzy.wav,BUZZY,happy,"Eyes to see and ears to hear,"
089-buzzy.wav,BUZZY,,"A nose to smell the flowers near,"
090-lily.wav,LILY,happy,"A tongue to taste our lunch today,"
091-dotty.wav,DOTTY,excited,And skin to feel along the way!
092-buzzy.wav,BUZZY,excited,"Five senses, five senses, one two three four five!"
093-lily.wav,LILY,giggling,"Five senses, five senses, they help us feel alive!"
094-buzzy.wav,BUZZY,happy,"So next time you're outside, have a go."
095-buzzy.wav,BUZZY,,What can you see? What can you hear?
096-buzzy.wav,BUZZY,curious,"What can you smell, and what can you touch?"
097-buzzy.wav,BUZZY,excited,Thank you for coming on our sense-ational adventure!
098-buzzy.wav,BUZZY,happy,"I'll see you next time. Bye bye, friends!"
