Start,Role,Duration,Source,Label
03:05.05,sfx,1.00,audio/sfx/bell.wav,bell
03:06.07,dialogue,5.25,audio/vo/039-buzzy.wav,"BUZZY: Now, listen very carefully. Is this sou…"
03:11.52,sfx,1.00,audio/sfx/bell-soft.wav,bell-soft
03:11.52,sfx,2.00,audio/sfx/think-cue.wav,think-cue (question-pause)
03:11.52,audience beat,3.00,question-pause,Loud or quiet?
03:14.52,dialogue,3.07,audio/vo/040-buzzy.wav,BUZZY: Quiet! Well listened. And this one?
03:17.79,sfx,1.00,audio/sfx/drum-loud.wav,drum-loud
03:17.79,sfx,2.00,audio/sfx/think-cue.wav,think-cue (question-pause)
03:17.79,audience beat,3.00,question-pause,Loud or quiet?
03:20.79,dialogue,1.68,audio/vo/041-lily.wav,LILY: That one made me jump!
03:22.67,dialogue,3.84,audio/vo/042-pip.wav,PIP: Let's make a sound together! Can you cl…
03:26.71,sfx,2.00,audio/sfx/twinkle.wav,twinkle (copy-the-gesture)
03:26.71,audience beat,4.50,copy-the-gesture,Clap along with us!
03:31.21,sfx,1.00,audio/sfx/clapping.wav,clapping
03:31.21,dialogue,4.56,audio/vo/043-buzzy.wav,BUZZY: What a wonderful noise. That's sense nu…
03:35.97,sfx,1.00,audio/sfx/ding.wav,ding
03:35.97,sfx,2.00,audio/sfx/think-cue.wav,think-cue (question-pause)
03:35.97,audience beat,3.00,question-pause,Hold up two fingers. Two senses!
03:40.32,music,20.00,audio/music/gentle-wonder.wav,gentle-wonder
03:43.14,sfx,1.00,audio/sfx/sniff.wav,sniff
03:43.14,dialogue,4.37,audio/vo/044-buzzy.wav,"BUZZY: Mmmmm. Oh, my goodness. Come and smell …"
03:47.71,dialogue,0.88,audio/vo/045-lily.wav,LILY: What is it?
03:48.79,dialogue,3.78,audio/vo/046-buzzy.wav,BUZZY: It's the flower. Take a big breath in t…
03:52.77,sfx,2.00,audio/sfx/think-cue.wav,think-cue (question-pause)
03:52.77,audience beat,3.20,question-pause,Take a deep breath in through your nose!
03:57.89,dialogue,3.01,audio/vo/047-lily.wav,LILY: Ohhh! It's sweet! Like honey!
04:01.11,dialogue,4.73,audio/vo/048-buzzy.wav,BUZZY: That's sense number three. SMELLING. Yo…
04:06.03,dialogue,4.26,audio/vo/049-buzzy.wav,BUZZY: Some smells are lovely. And some are...…
04:11.42,dialogue,3.34,audio/vo/050-dotty.wav,DOTTY: Ugh! Has anybody been near the compost …
04:14.96,dialogue,3.26,audio/vo/051-buzzy.wav,BUZZY: Oh dear. Dotty found a not-so-lovely on…
04:18.42,sfx,1.00,audio/sfx/comedy-pop.wav,comedy-pop
04:18.42,sfx,2.00,audio/sfx/twinkle.wav,twinkle (shout-it-out)
04:18.42,audience beat,3.20,shout-it-out,What's your favourite smell? Tell me!
04:21.62,dialogue,3.17,audio/vo/052-lily.wav,LILY: Mine is bread. Warm bread from the oven.
04:24.99,dialogue,3.55,audio/vo/053-buzzy.wav,"BUZZY: And mine is flowers, of course. I'm a b…"
04:28.75,dialogue,3.96,audio/vo/054-buzzy.wav,"BUZZY: Three senses found. Seeing, hearing, an…"
04:32.91,sfx,1.00,audio/sfx/ding.wav,ding
04:32.91,sfx,2.00,audio/sfx/think-cue.wav,think-cue (question-pause)
04:32.91,audience beat,3.00,question-pause,Hold up three fingers!
04:37.26,music,20.00,audio/music/cheeky-fun.wav,cheeky-fun
04:38.28,dialogue,2.92,audio/vo/055-buzzy.wav,BUZZY: Now this one — this one is my favourite.
04:41.40,dialogue,2.13,audio/vo/056-lily.wav,"LILY: What's in the basket, Buzzy?"
04:44.75,dialogue,1.01,audio/vo/057-lily.wav,LILY: A strawberry!
04:45.95,dialogue,3.08,audio/vo/058-buzzy.wav,BUZZY: Take a little taste. Just a little one.
04:50.26,sfx,1.00,audio/sfx/nibble.wav,nibble
04:50.26,dialogue,2.16,audio/vo/059-lily.wav,LILY: Mmmm! It's SWEET!
04:52.61,dialogue,6.23,audio/vo/060-buzzy.wav,BUZZY: Sense number four. TASTING. Your tongue…
04:59.04,dialogue,1.73,audio/vo/061-dotty.wav,DOTTY: Sour? What's sour?
05:00.97,dialogue,3.03,audio/vo/062-buzzy.wav,"BUZZY: Oh, Dotty. You're going to find out."
05:05.12,dialogue,2.36,audio/vo/063-dotty.wav,DOTTY: It's yellow. It looks lovely.
05:07.68,sfx,2.00,audio/sfx/think-cue.wav,think-cue (question-pause)
05:07.68,audience beat,3.00,question-pause,Do you think a lemon is sweet or sour?
05:11.70,sfx,1.00,audio/sfx/comedy-boing.wav,comedy-boing
05:11.70,dialogue,1.93,audio/vo/064-dotty.wav,DOTTY: Oooooooh! That's SOUR!
05:13.83,dialogue,3.88,audio/vo/065-buzzy.wav,BUZZY: And remember — we only taste things we …
05:17.91,dialogue,2.25,audio/vo/066-lily.wav,LILY: Always ask a grown-up first!
05:20.36,dialogue,2.46,audio/vo/067-buzzy.wav,BUZZY: Exactly right. That's four!
05:23.02,sfx,1.00,audio/sfx/ding.wav,ding
05:23.02,sfx,2.00,audio/sfx/think-cue.wav,think-cue (question-pause)
05:23.02,audience beat,3.00,question-pause,Hold up four fingers!
05:27.37,music,20.00,audio/music/soft-explore.wav,soft-explore
05:29.29,dialogue,2.58,audio/vo/068-buzzy.wav,BUZZY: One more to find. Just one!
05:32.08,dialogue,2.47,audio/vo/069-lily.wav,LILY: The last sense! What is it?
05:35.77,dialogue,3.56,audio/vo/070-buzzy.wav,"BUZZY: Feel this moss. Go on, reach out with m…"
05:39.53,sfx,2.00,audio/sfx/think-cue.wav,think-cue (question-pause)
05:39.53,audience beat,3.20,question-pause,Reach out your hand and touch something soft!
05:42.73,dialogue,2.90,audio/vo/071-lily.wav,LILY: It's soft! Like a little cushion.
05:45.84,dialogue,4.61,audio/vo/072-buzzy.wav,BUZZY: That's sense number five. TOUCHING. And…
05:51.57,dialogue,2.73,audio/vo/073-dotty.wav,DOTTY: Ooh! This one isn't soft at all!
05:54.50,dialogue,2.31,audio/vo/074-buzzy.wav,"BUZZY: What does it feel like, Dotty?"
05:57.01,dialogue,2.09,audio/vo/075-dotty.wav,DOTTY: Bumpy. And a bit prickly.
05:59.29,dialogue,2.92,audio/vo/076-buzzy.wav,BUZZY: Bumpy and prickly. Lovely describing.
06:03.44,dialogue,2.95,audio/vo/077-lily.wav,LILY: And this rock is smooth. And cold!
06:06.59,dialogue,6.11,audio/vo/078-buzzy.wav,BUZZY: Smooth. Cold. Rough. Warm. Soft. Your s…
06:12.90,sfx,2.00,audio/sfx/think-cue.wav,think-cue (question-pause)
06:12.90,audience beat,3.20,question-pause,Can you feel your own cheek? Is it soft?
06:16.10,dialogue,3.12,audio/vo/079-buzzy.wav,"BUZZY: Mine is fuzzy! I'm a bee, remember."
06:19.42,dialogue,3.09,audio/vo/080-buzzy.wav,BUZZY: And that's five! We found all five!
06:22.71,sfx,1.00,audio/sfx/fanfare.wav,fanfare
06:24.06,music,20.00,audio/music/sing-along.wav,sing-along
06:25.08,dialogue,3.34,audio/vo/081-buzzy.wav,BUZZY: We did it! Let's count them all togethe…
06:28.62,dialogue,2.53,audio/vo/082-buzzy.wav,BUZZY: Number one — my eyes can SEE.
06:31.36,sfx,2.00,audio/sfx/think-cue.wav,think-cue (question-pause)
06:31.36,audience beat,3.00,question-pause,Point to your eyes!
06:34.36,dialogue,2.61,audio/vo/083-buzzy.wav,BUZZY: Number two — my ears can HEAR.
06:37.17,sfx,2.00,audio/sfx/think-cue.wav,think-cue (question-pause)
06:37.17,audience beat,3.00,question-pause,Point to your ears!
06:40.17,dialogue,3.35,audio/vo/084-buzzy.wav,"BUZZY: My nose can SMELL, and my tongue can TA…"
06:43.73,sfx,2.00,audio/sfx/think-cue.wav,think-cue (question-pause)
06:43.73,audience beat,3.00,question-pause,"Point to your nose, then your tongue!"
06:46.73,dialogue,2.96,audio/vo/085-buzzy.wav,BUZZY: And number five — my skin can TOUCH.
06:49.89,sfx,2.00,audio/sfx/think-cue.wav,think-cue (question-pause)
06:49.89,audience beat,3.00,question-pause,Wiggle your fingers!
06:52.89,dialogue,2.67,audio/vo/086-lily.wav,LILY: Five senses! Let's sing it!
06:55.76,sfx,1.00,audio/sfx/music-start.wav,music-start
06:55.76,dialogue,2.38,audio/vo/087-buzzy.wav,"BUZZY: Sing along with me, everybody!"
06:58.35,sfx,2.00,audio/sfx/twinkle.wav,twinkle (sing-along)
06:58.35,audience beat,4.50,sing-along,Sing along! Eyes to see and ears to hear!
07:02.85,dialogue,2.42,audio/vo/088-buzzy.wav,"BUZZY: Eyes to see and ears to hear,"
07:05.47,dialogue,2.47,audio/vo/089-buzzy.wav,"BUZZY: A nose to smell the flowers near,"
07:08.15,dialogue,2.67,audio/vo/090-lily.wav,"LILY: A tongue to taste our lunch today,"
07:11.02,dialogue,2.32,audio/vo/091-dotty.wav,DOTTY: And skin to feel along the way!
07:13.54,dialogue,4.33,audio/vo/092-buzzy.wav,"BUZZY: Five senses, five senses, one two three…"
07:18.07,dialogue,4.56,audio/vo/093-lily.wav,"LILY: Five senses, five senses, they help us …"
07:22.83,sfx,1.00,audio/sfx/cheer.wav,cheer
07:24.75,dialogue,3.15,audio/vo/094-buzzy.wav,"BUZZY: So next time you're outside, have a go."
07:28.10,dialogue,2.85,audio/vo/095-buzzy.wav,BUZZY: What can you see? What can you hear?
07:31.16,dialogue,2.94,audio/vo/096-buzzy.wav,"BUZZY: What can you smell, and what can you to…"
07:34.30,dialogue,3.42,audio/vo/097-buzzy.wav,BUZZY: Thank you for coming on our sense-ation…
07:37.92,dialogue,3.70,audio/vo/098-buzzy.wav,"BUZZY: I'll see you next time. Bye bye, friend…"
07:41.82,sfx,2.00,audio/sfx/think-cue.wav,think-cue (question-pause)
07:41.82,audience beat,3.00,question-pause,Wave goodbye to Buzzy!
07:44.82,sfx,1.00,audio/sfx/sparkle.wav,sparkle
07:45.02,music,7.00,audio/music/outro.wav,Outro music
